date,title,clue,hint,notes,slot_1_name,slot_1_answer,slot_1_decoy,slot_2_name,slot_2_answer,slot_2_decoy,slot_3_name,slot_3_answer,slot_3_decoy,slot_4_name,slot_4_answer,slot_4_decoy,slot_5_name,slot_5_answer,slot_5_decoy
2026-10-22,Micrometer Dial Measuring Calibration,Arrange the technical steps followed by an official chief umpire measuring stones for shot rock with an engineering micrometer.,The umpire clears frost from the button pinhole before swinging the dial gauge between contesting stones.,"The umpire clears the center button insert, seats the ground anchor pin, adjusts the spring-loaded micrometer dial arm, sweeps the contact probe across stone A to set the baseline, and swings to stone B to determine the thousandth-of-an-inch winner.",Step 1,Clearing Debris from Center Button Pinhole,Spraying Hot Water on Ice,Step 2,Inserting Ground Center Anchor Spindle,Driving Anchor Spike into Ice,Step 3,Extending Telescopic Micrometer Arm,Attaching Flexible Tape Measure,Step 4,Sweeping Dial Gauge Across First Stone Biter,Touching Rock with Finger,Step 5,Reading Dial Deflection on Second Stone Biter,Eyeballing Gap from Above
2026-10-23,Post-Sweeping Summit Fabric Enforcement,Arrange the official championship equipment inspection protocol for brush heads conducted by World Curling umpires.,Brush heads are checked for WCF certification stamps and serial codes before game play.,"Umpires inspect team brush heads in the dressing room for valid WCF yellow fabric stamps, verify store barcodes, serialize heads to specific players, conduct random bench checks during game play, and confiscate illegal textured fabric heads.",Protocol 1,Pre-Tournament Fabric Code Registration,Weighing Broom Handles,Protocol 2,Verifying WCF Mustard Yellow Production Stamp,Thread Count Magnifier Check,Protocol 3,Barcoding and Player Serial Assignment,Laser Head Engraving,Protocol 4,Bench-Side Random Mid-Game Verification,Microfiber Wipe Sample,Protocol 5,Confiscation & Penalty for Unapproved Textures,Immediate Team Expulsion
2026-10-24,Scoring Determination at End Conclusion,Arrange the sequential process for determining points scored at the completion of an end.,All stones are checked against the house perimeter before comparing distances to the button.,"At the conclusion of an end: 1) Both vices inspect the house, 2) Stones outside the 12-foot ring are disqualified, 3) The closest stone to the button is identified as shot rock, 4) Additional stones of the same color closer than any opponent stone are counted, and 5) Both vices agree and record the end tally on the scoreboard.",Phase 1,House Inspection by Vice-Skips,Skip Draw to Button,Phase 2,Eliminating Stones Outside 12-Foot,Clearing Corner Guards,Phase 3,Identifying Closest Stone to Center Pin,Measuring Hack Distance,Phase 4,Tallying Consecutive Same-Color Counters,Counting All Rocks in Rings,Phase 5,Scorecard Confirmation & Board Posting,Immediate Extra End Flip
2026-10-25,Hog Line Violation Protocol,Arrange the step-by-step sequence when an electronic handle detects an illegal late delivery release.,The sensor handle trips before the stone clears the delivery line and must be removed by the delivering team.,"When a hog-line violation occurs: 1) The handle LED flashes red indicating illegal touch beyond the hog line, 2) The delivering player or skip immediately signals the infraction, 3) The stone is stopped and removed from play, 4) Any displaced stones are returned to original positions by the non-offending skip, and 5) The throw is marked as an illegal burnt stone.",Step 1,Handle Sensor Flashes Red Violation LED,Green Clearance Flash,Step 2,Delivering Team Declares Infraction,Opponent Calls Umpire Timeout,Step 3,Violating Rock Hauled from Ice Surface,Leaving Stone to Roll,Step 4,Non-Offending Skip Resets Displaced Rocks,Delivering Skip Replaces Stones,Step 5,Loss of Delivered Stone Recorded,Penalty Point Awarded to Opponent
2026-10-26,Scotties Tournament of Hearts Dynasties,Arrange these iconic Canadian women's skips in chronological order of their first national Scotties championship title.,Vera Pezer captured titles in the early 1970s; Kerri Einarson led a four-peat dynasty in the 2020s.,"Vera Pezer won her first Canadian women's title in 1971, Sandra Schmirler in 1993, Colleen Jones in 1999 (her modern era return before four straight), Jennifer Jones in 2005, and Kerri Einarson in 2020.",1971,Vera Pezer,Joyce McKee,1993,Sandra Schmirler,Shannon Kleibrink,1999,Colleen Jones,Kelly Scott,2005,Jennifer Jones,Rachel Homan,2020,Kerri Einarson,Chelsea Carey
2026-10-27,Curling Pop Culture & Media Moments,Arrange these famous curling pop-culture milestones in chronological order.,Paul Gross directed Men with Brooms in 2002; the Simpson family went curling at the 2010 Winter Games.,The comedy classic Men with Brooms debuted in Canadian cinemas in 2002; The Simpsons aired the curling-themed episode 'Boy Meets Curl' in 2010; Norwegian curling pants became a viral internet sensation at Sochi 2014; John Shuster's 'Miracurl' team appeared on US late-night circuits in 2018; and Lego released its fan-designed curling set in 2022.,2002,Men with Brooms Theatrical Release,Corner Gas Curling Match,2010,The Simpsons 'Boy Meets Curl' Episode,South Park Olympic Special,2014,Norwegian Loud Pants Viral Phenomenon,Swedish Broom Dance Meme,2018,Miracurl US Olympic Media Tour,Saturday Night Live Skip Sketch,2022,Lego Fan-Designed Curling Set Debut,Mattel Curling Board Game
2026-10-28,Slide Sole Slider Evolution,Arrange the historical transition of sliding footwear soles from lowest velocity friction to fastest modern materials.,Early sliding soles used leather and steel before progressive thicknesses of modern Teflon took over.,"Early curlers slid on soft harness leather soles, moved to thin red rubber and stainless steel sliders, transitioned to 1/8-inch standard Teflon in the 1980s, adopted 1/4-inch fast Teflon in the 1990s, and now use hardened 5/16-inch ultra-dense Teflon discs.",Earliest Era,Harness Leather Slide Sole,Bare Boot Rubber,Mid-Century,Polished Stainless Steel Slider,Cork Composite Plate,1980s Standard,1/8-Inch Standard Teflon Sheet,Neoprene Contact Layer,1990s Advance,1/4-Inch High-Speed Teflon Plate,Silicone Coated Fabric,Modern Elite,5/16-Inch Ultra-High-Density Teflon Discs,Ceramic Nanocoat Base
2026-10-29,Five-Stone Free Guard Zone Strategic Geometry,Arrange the opening five stones of an elite end demonstrating optimal five-rock offensive setup without hammer.,The non-hammer team places guards and house pressure; the hammer team seeks open corner angles.,"In a five-rock end without hammer: Rock 1 places a tight centre guard, Rock 2 (hammer) sets an off-centre corner guard, Rock 3 curls behind the centre guard into the 4-foot, Rock 4 (hammer) draws to the open corner wing, and Rock 5 buries a second freeze or guard before the FGZ expires.",Rock 1 (No Hammer),Tight Center Guard in FGZ,Open Center Draw,Rock 2 (Hammer),Corner Guard on Scoring Wing,Peel of Center Guard,Rock 3 (No Hammer),Burying Draw Behind Center Guard,Peel Opponent Corner Guard,Rock 4 (Hammer),Drawing Behind Corner Guard,Heavy Nose Takeout,Rock 5 (No Hammer),Freezing on Top of Shot Rock,Peeling Wing Corner Guard
2026-10-30,Tactical Execution of a Raise Takeout,Arrange the physical trajectory and force transfer stages of an angle raise takeout.,The thrown stone strikes an intermediate friendly guard to drive it into a target opponent rock.,"To execute an angle raise takeout: 1) Skip calls intermediate stone line and board-to-hack weight, 2) Thrown rock follows curling track toward target guard, 3) Thrown rock impacts friendly guard at calculated cut angle, 4) Guard accelerates along projected vector into opponent house stone, and 5) Target opponent stone is driven outside the 12-foot circle.",Phase 1,Calling Line & Board Weight at Intermediate Rock,Calling Maximum Peel Weight at House,Phase 2,Delivered Stone Curls Along Reading Track,Throwing Straight In-Turn Laser,Phase 3,Contact on Intermediate Guard at Cut Angle,Direct Head-On Nose Blast,Phase 4,Kinetic Energy Transfers to Propel Guard,Thrown Rock Slides Behind Guard,Phase 5,Target Opponent Stone Removed Past Back Line,Friendly Guard Settles on Button
2026-10-31,Enforcing the Official No-Tick Rule,Arrange the official officiating sequence when a delivered stone illegally breaches the No-Tick Rule.,The rule applies to guards touching the centre line in the free guard zone before the sixth stone.,"When an illegal tick occurs: 1) Delivered stone impacts a centre-line FGZ rock prior to the sixth stone, 2) The struck guard is observed moving away from the centre line, 3) Umpire rules a No-Tick violation, 4) Non-offending skip elects to remove delivered stone, and 5) Displaced centre-line stone is restored to its exact original pre-shot position.",Step 1,Contact on FGZ Center Guard Before Rock 6,Contact on House Biter After Rock 5,Step 2,Center-Line Guard Displaced from Line,Guard Ticked Inside Rings,Step 3,Chief Umpire Declares No-Tick Infraction,Skip Pleads Accidental Touch,Step 4,Delivered Rock Removed from Play Immediately,Delivered Rock Allowed to Stand,Step 5,Displaced Guard Restored to Original Mark,Displaced Guard Left on Wing
2026-11-01,Grand Slam Triple Knockout Bracket Progression,Arrange the tournament bracket paths in a Grand Slam Triple Knockout format from direct qualification to elimination.,Teams enter through the A-Event; a third loss results in complete tournament elimination.,In a Grand Slam Triple Knockout: Teams begin in the A-Event (qualifying with zero losses); first defeat drops a team to the B-Event (qualifying with one loss); second defeat drops a team to the C-Event (qualifying with two losses); while a third defeat causes elimination from the event.,Initial Path,A-Event Main Bracket (Undefeated),C-Event Scramble,Second Chance,B-Event Lower Bracket (One Loss),Tiebreaker Round-Robin,Final Chance,C-Event Knockout (Two Losses),Silver Consolation Plate,Playoff Berth,Advancing to Eight-Team Quarterfinals,Entering Four-Team Page Playoff,Exit Point,Third Loss Elimination from Tournament,Voluntary Re-Entry Draw
2026-11-02,Wheelchair Mixed Doubles Paralympic Milestones,Arrange the developmental milestones of Wheelchair Mixed Doubles from introductory trials to full Paralympic program inclusion.,The two-person wheelchair discipline evolved from initial testing to an official medal sport in 2026.,The World Curling Federation introduced wheelchair mixed doubles exhibition testing in 2018; approved official international rules in 2020; held the inaugural World Wheelchair Mixed Doubles Championship in Lohja in 2022; and the International Paralympic Committee officially added it for the Milano-Cortina 2026 Winter Paralympics.,2018,International Exhibition Testing Trials,Four-Person Rule Repeal,2020,World Curling Formal Rulebook Adoption,Stick Sweeping Authorization,2022,Inaugural World Championship in Lohja,First Paralympic Demonstration,2024,Olympic Qualification System Ratification,Wheelchair Power Play Ban,2026,Milano-Cortina Official Paralympic Debut,Los Angeles Adaptive Games
2026-11-03,Petrographic Analysis of Competition Curling Stones,Arrange the mineralogical and engineering layers of an Ailsa Craig Blue Hone insert curling stone from running edge to crown.,Blue Hone microcrystalline granite resists water infiltration while the surrounding body absorbs kinetic collision energy.,"An Olympic-grade stone features: 1) The ultra-dense Ailsa Craig Blue Hone microcrystalline running edge insert, 2) High-tensile structural epoxy bonding joint, 3) Shock-absorbing Ailsa Craig Common Green quartz body, 4) Impact-absorbing Treblessed outer perimeter band, and 5) Top crown drilled for handle spindle assembly.",Basal Contact,Blue Hone Microcrystalline Running Insert,Porous Sandstone Ring,Bonding Plane,High-Shear Structural Epoxy Joint,Lead Solder Seam,Core Volume,Common Green Coarse Quartz Granite Body,Metamorphic Marble Core,Perimeter Ring,Treblessed Mechanical Impact Striking Band,Polished Glass Rim,Top Surface,Contoured Crown Drilled for Center Spindle,Cast Iron Screw Plate
2026-11-04,WCF Thinking Time Allotment Ladder,Arrange the official World Curling thinking-time allotments from shortest duration to longest standard match allowance.,Wheelchair and ten-end games receive more thinking time than eight-end and mixed doubles formats.,Thinking time per team: Extra end in Mixed Doubles receives 2 minutes 45 seconds; Extra end in standard four-person receives 4 minutes 30 seconds; Mixed Doubles eight-end game receives 22 minutes; Standard four-person eight-end game receives 30 minutes; Standard ten-end championship game receives 38 minutes.,Shortest,Mixed Doubles Extra End (2 min 45 sec),One Minute Strategic Timeout,Short,Standard Four-Person Extra End (4 min 30 sec),Two Minute Break Clock,Intermediate,Mixed Doubles Regulation (22 min per team),Twenty Minute Half-Time,Long,Eight-End Regulation (30 min per team),Twenty-Five Minute Wheelchair,Longest,Ten-End Regulation (38 min per team),Fifty Minute Open Match
2026-11-05,Historical Evolution of the Guard Protection Rules,Arrange the developmental rules designed to prevent immediate guard peelings in chronological sequence.,The sport evolved from unprotected open hitting to the five-rock rule and modern no-tick protections.,Curling historically evolved from the open-peel era with zero guard protection; to the experimental 1990 Moncton 4-stone rule; to the 1993 3-stone Free Guard Zone; to the 2002 standard 4-stone FGZ; to the 2018 universal 5-stone FGZ rule.,Pre-1990,Unrestricted Open Peeling Era,Unlimited Tick Rule,1990,Moncton Experimental Four-Stone Rule,Scottish Ice League Trials,1993,Inaugural Three-Stone Free Guard Zone,Two-Stone Button Lockdown,2002,Universal Four-Stone Free Guard Zone,Six-Stone Zone Trial,2018,Universal Five-Stone Free Guard Zone,Total No-Peel Regulation
2026-11-06,Decisive Men's World Championship Winning Shots,Arrange these iconic championship-winning final shots in Men's World Curling Championship finals chronologically.,Pat Ryan played a runback to seal the 1989 title; Bruce Mouat won his world crown with a clutch final draw in 2023.,In 1989 Pat Ryan executed his trademark runback takeout in Milwaukee; in 2004 Peja Lindholm drew through an impossible port in Gävle; in 2010 Kevin Martin drew the four-foot in Cortina d'Ampezzo; in 2018 Niklas Edin executed a raised double in Las Vegas; and in 2023 Bruce Mouat drew the button in Ottawa.,1989 Milwaukee,Pat Ryan Controlled Runback Takeout,Ernie Richardson Soft Peel,2004 Gävle,Peja Lindholm Port Draw to Button,David Murdoch Corner Freeze,2010 Cortina,Kevin Martin Out-Turn Draw to Four-Foot,Thomas Ulsrud Heavy Peel,2018 Las Vegas,Niklas Edin Angled Raise Double,Brad Gushue Split House Hit,2023 Ottawa,Bruce Mouat Pinpoint Button Draw,Niklas Edin Corner Bumper
2026-11-07,Curling Broom Head Maintenance,Arrange the step-by-step procedure for replacing a worn synthetic brush head pad on a competition carbon-fiber broom.,The process begins by unscrewing the base plate and ends by locking in fresh certified fabric.,"To replace a brush head pad: 1) Depress release buttons or unscrew thumb fasteners, 2) Detach the worn pad assembly from the pivot head, 3) Clear trapped ice shavings and grit from the plastic plate, 4) Align the fresh WCF-approved fabric sleeve over the foam block, and 5) Tighten locking screws securely to ensure rigid downforce.",Step 1,Unscrewing Pivot Head Fasteners,Applying Grip Tape,Step 2,Removing Worn Brush Pad from Base,Cutting Carbon Fiber Handle,Step 3,Clearing Trapped Ice Shavings and Debris,Spraying Pebble Water,Step 4,Fitting Fresh WCF-Approved Fabric Sleeve,Attaching Horsehair Strands,Step 5,Tightening Retention Screws into Faceplate,Snapping Shaft in Half
2026-11-08,Traditional Four-Player Sweeping Workload,Arrange the traditional four-player curling positions in order from greatest physical sweeping distance to least sweeping duty.,The front end sweeps six full stones per end; the skip sweeps only defensive stones behind the tee line.,"In standard four-person play, the Lead sweeps six stones per end (Second, Third, Skip throws); the Second sweeps six stones (Lead, Third, Skip throws); the Third (Vice) sweeps four stones (Lead and Second throws); the Skip rarely sweeps except to direct line or clean behind the tee line; and the Coach/Alternate has zero on-ice sweeping duty.",Maximum Sweeping,Lead (Sweeps 6 Stones),Skip (Calls Line),Heavy Sweeping,Second (Sweeps 6 Stones),Third (Sweeps 2 Stones),Moderate Sweeping,Third / Vice-Skip (Sweeps 4 Stones),Lead (Sweeps 2 Stones),Minimal Sweeping,Skip (Sweeps Only Behind Tee Line),Second (Sweeps Zero),Zero Sweeping,Alternate / Reserve (Non-Playing),Lead (Sweeps 8 Stones)
2026-11-09,Delivery Mechanics,Arrange the five fundamental stages of a standard curling slide delivery in chronological sequence.,The sequence starts stationary in the hack and ends after the stone is released with rotational handle.,"A proper slide delivery begins with setup in the hack, a clean forward press, the backswing and leg drive, sliding out on the slider foot, and the smooth release with handle rotation before the near hog line.",Step 2,Hack Setup,Broom Sweep,Step 3,Forward Press,Knee Drop,Step 4,Backswing & Leg Drive,Arm Push,Step 5,Slide & Extension,Tuck Kick,Step 6,Release & Rotation,Stone Drag
2026-11-10,Traditional Team Throwing Order,Arrange the four-player curling team positions in their traditional throwing order from first to last.,The front end throws before the back end; the team captain traditionally throws the final pair.,"In a standard four-person game, the Lead throws stones 1-2, the Second throws 3-4, the Third (Vice-Skip) throws 5-6, and the Skip throws 7-8. The Alternate serves as the fifth player in reserve.",1st Thrower,Lead,Sweeper,2nd Thrower,Second,Alternate,3rd Thrower,Third (Vice-Skip),Skip,4th Thrower,Skip,Coach,In Reserve,Alternate,Umpire
2026-11-11,Concentric Rings of the House,Arrange the concentric circles and boundaries of the curling house from the central pin outward.,The button lies at the absolute dead center and is encircled by three progressively larger colored rings.,"The house consists of the central button (usually one or two feet in diameter), followed by the 4-foot circle, the 8-foot circle, and the outermost 12-foot circle. Any stone clearing beyond the back line is out of play.",Center Pin,Button,Tee Line,Inner Ring,Four-Foot Circle,Six-Foot Ring,Middle Ring,Eight-Foot Circle,Ten-Foot Ring,Outer Ring,Twelve-Foot Circle,Fourteen-Foot Ring,House Limit,Back Line,Hog Line
2026-11-12,Shot Weight Ladder,Arrange these curling delivery weights in order from lowest kinetic energy to highest velocity.,A stone designed to rest in front of the house is thrown softer than one designed to smash out guards.,"Draw and guard weights are finesse shots with low speed. Takeout speeds increase through hack weight, control weight, and board weight up to maximum-velocity peel weight.",Lightest,Guard Weight,Draw Weight,Medium-Light,Draw Weight,Hack Weight,Medium,Hack Weight,Control Takeout,Medium-Heavy,Control Takeout,Normal Takeout,Maximum,Peel Weight,Backline Weight
2026-11-13,Sheet Lines from Delivery to House,Arrange the painted ice markings encountered by a sliding curler traveling from the delivery end to the target end.,The stone is delivered out of the hack and must be released before the near hog line.,"A curler pushes from the delivery Hack, crosses the near Back Line, releases the stone before the near Hog Line, glides past the mid-sheet Centre Line, and targets the far Hog Line and house.",Starting Mark,Delivery Hack,Near Hog Line,First Boundary,Near Back Line,Tee Line,Release Boundary,Near Hog Line,Mid-Sheet Line,Distance Boundary,Far Hog Line,Delivery Hack,Target Center,Far Tee Line,Near Back Line
2026-11-14,Ice Technician Pebble Preparation,Arrange the key steps an ice maker follows when preparing competition ice before game play.,Scraping flattens the sheet before water droplets are sprayed onto the surface and trimmed.,"Proper ice prep requires blading and scraping to flatten the sheet profile, mopping debris, spraying a base water pebble, spraying a fine top pebble, and nipping the pebble tips with a razor blade.",Step 2,Scraping with Ice Blade,Floor Waxing,Step 3,Mopping & Debris Removal,Water Flooding,Step 4,Base Pebble Application,Salt Brining,Step 5,Fine Top Pebble Spray,Chipping Ice,Step 6,Nipping Pebble Tops,Deep Grooving
2026-11-15,Free Guard Zone Evolution,Arrange the historical evolution of the Free Guard Zone rule in competitive curling chronologically.,The rule expanded from three protected stones to four then five before addressing center guards with the no-tick rule.,"The FGZ was introduced in 1993 with 3 stones, increased to 4 stones internationally, raised to 5 stones in 2018, and updated in 2022 to the No-Tick rule to preserve offensive play.",1990s Debut,Three-Stone FGZ,Two-Stone Rule,Late 1990s,Four-Stone FGZ,Corner Guard Rule,2019 Standard,Five-Stone FGZ,Six-Stone Rule,2022 Trials,No-Tick Rule Trial,Laser Sensor Trial,2023 Official,Official No-Tick Rule,Unlimited FGZ
2026-11-16,Olympic Curling Milestones,Arrange these historic Olympic curling events in chronological order.,Chamonix 1924 was the earliest Olympic curling competition; mixed doubles entered at PyeongChang 2018.,"Great Britain won the first men's Olympic gold at Chamonix 1924, Lake Placid 1932 was a demonstration, Nagano 1998 restored curling as a full medal sport, and PyeongChang 2018 added mixed doubles.",1925,Chamonix Inaugural Gold,London Games,1933,Lake Placid Demonstration,Berlin Games,1989,Calgary Demonstration Event,Seoul Games,1999,Nagano Official Olympic Return,Salt Lake Debut,2019,PyeongChang Mixed Doubles Debut,Beijing Gold
2026-11-17,Anatomy of a Curling Stone,Arrange the physical components of a competition curling stone from top to bottom.,The colored plastic handle sits on top; the contact running ring glides along the pebble on bottom.,"At the top sits the handle and colored cap, secured by the central bolt passing through the granite body. Around the stone's widest perimeter is the striking band, and underneath lies the ground concave running edge.",Top,Handle & Screw Plate,Rubber Bumper,Upper Fastener,Center Steel Bolt,Brass Spring,Stone Body,Ailsa Craig Granite Body,Slate Core,Impact Zone,Treblessed Striking Band,Polished Crown,Bottom Contact,Concave Running Edge,Flat Base
2026-11-18,Canadian Men's Brier Eras,Arrange these legendary Canadian skips in chronological order of their first Brier national championship.,Ernie Richardson dominated the 1950s and 60s; Brad Gushue captured his first Brier crown in 2017.,"Ernie Richardson won his first Brier in 1959, Al Hackner in 1980, Russ Howard in 1987, Randy Ferbey (as skip) in 2001, and Brad Gushue in 2017.",1960,Ernie Richardson,Ron Northcott,1981,Al Hackner,Ed Werenich,1988,Russ Howard,Jeff Stoughton,2002,Randy Ferbey,Kevin Martin,2018,Brad Gushue,Brendan Bottcher
2026-11-19,Mixed Doubles End Structure,Arrange the operational sequence of a single end in Mixed Doubles curling from start to finish.,Pre-positioned stones are placed on the centre line before any rock is delivered by the players.,"Mixed doubles begins with positioning stationary stones (one guard and one house), followed by the first player throwing stone 1, the partner throwing stones 2, 3, and 4, the first player throwing stone 5, and then scoring.",Pre-End,Placing Fixed Stationary Stones,Coin Toss,Throw 2,Player A Delivers First Stone,Player B Sweep Only,Throws 2 to 5,Player B Delivers Three Stones,Player A Sweep Only,Throw 6,Player A Delivers Final Stone,Alternate Throws,Post-End,Scoring & Measuring House,Power Play Setup
2026-11-20,Sweeping Intensity Commands,Arrange the skip's sweeping commands from least aggressive to maximum physical effort.,Off tells sweepers to lift brushes completely; Hard demands maximum downward pressure for distance.,"Sweepers progress from Off (no contact) to Clean (hovering brush to clear frost), Sweep (steady brushing for line), Hard (full cardio for distance), and Carve (directional angle sweeping to influence curl).",Zero Effort,Off (Brooms Up),Clean,Light Effort,Clean (Dusting Only),Hold,Moderate Effort,Sweep (Maintain Line),Hurry Hard,Heavy Effort,Hard (Extend Distance),Whoa,Directional Effort,Carve (Directional Angle),Walk
2026-11-21,Measuring Stone Distances,Arrange the sequence of measuring procedures used to settle a disputed point in the house.,Teams start by visually assessing the house before calling the chief umpire and official gauge.,"Players first attempt a visual naked-eye inspection. If too close to call, an umpire is summoned to insert the measuring pin in the button, rotate the micrometer gauge arm, and declare an official ruling.",Initial Step,Visual Inspection by Vices,Laser Measurement,Consultation,Summoning Chief Umpire,Handshake,Instrument Setup,Placing Measuring Pin in Button,Chalk Marking,Gauge Sweep,Rotating Dial Indicator Arm,Ruler Slide,Final Step,Official Distance Ruling,Coin Flip
2026-11-22,Post-Game Curling Etiquette,Arrange the traditional sequence of post-game sportsmanship and curling club customs.,The game concludes on the ice with handshakes before teams retire to the clubhouse lounge for broomstacking.,"Play ends when the trailing team concedes; players shake hands saying Good Game, confirm and sign the scorecard, return their stones to the corners, and join opponents for broomstacking drinks.",Step 2,Concession & Mutual Handshakes,Packing Brooms,Step 3,Declaring Good Game,Arguing Rulings,Step 4,Verifying & Signing Scorecard,Clearing Hacks,Step 5,Stashing Rocks & Clearing Sheet,Locker Cleanup,Step 6,Broomstacking (Buying Drinks),Leaving Ice Immediately
2026-11-23,Evolution of Curling Brooms,Arrange the technological eras of curling brooms in chronological order from earliest to modern.,Scottish brooms began as natural corn straw before horsehair and synthetic textiles took over.,"Early curling used stiff Canadian corn straw brooms, followed by hog and horsehair brushes, synthetic cordura nylon heads, the directional-fabric controversy of 2015 (Broomgate), and today's standardized WCF fabric.",19th Century,Corn Broom Straw,Carbon Fiber Brush,Mid-20th Century,Horsehair & Hog Hair Brushes,Nylon Foam,1990s,Cordura Synthetic Fabric Heads,Steel Brooms,1778.333333,Directional Fabric (Broomgate),Laser Head,Modern Era,WCF Standardized Yellow Fabric,Untested Nylon
2026-11-24,Women's World Championship Skips,Arrange these legendary skips in chronological order of their first World Women's Curling Championship title.,Elisabet Högström led Sweden to gold in the early 1980s; Silvana Tirinzoni dominated the 2020s.,"Elisabet Högström won World gold in 1981, Sandra Schmirler won her first in 1993, Anette Norberg in 2005, Eve Muirhead in 2013, and Silvana Tirinzoni in 2019.",1041,Elisabet Högström,Dordi Nordby,1089,Sandra Schmirler,Colleen Jones,1427,Anette Norberg,Kelly Scott,1689.833333,Eve Muirhead,Rachel Homan,1899,Silvana Tirinzoni,Anna Hasselborg
2026-11-25,Scottish Curling Heritage,Arrange these famous Scottish curling historical milestones in chronological sequence.,The Stirling Stone dates back to the early 1500s; the Royal Caledonian club established the sport's global rules.,"The Stirling stone bears the date 1511, Paisley Abbey records mention curling in 1541, Kilsyth Curling Club formed in 1716, the Grand Caledonian Curling Club was founded in 1838, and the first Scotch Cup world championship took place in 1959.",571,Stirling Stone Inscription,Edinburgh Castle Match,637,Paisley Abbey Sclater Record,Glasgow Treaty,1138,Kilsyth Curling Club Formation,Loch Leven Rules,1601.333333,Grand Caledonian Curling Club Founded,Scottish Open,1839,Inaugural Scotch Cup Championship,Olympic Demonstration
2026-11-26,Wheelchair Curling Regulations,Arrange the specific procedural requirements governing a wheelchair curling stone delivery.,In wheelchair curling players release using an extender stick from a stationary chair without sweeping.,"The wheelchair must be brought to a complete stationary stop, feet lifted off the ice, the delivery cue stick engaged with the handle, the stone smoothly propelled by hand, and no sweeping is permitted anywhere on the sheet.",Step 2,Stationary Wheelchair Positioning,Running Push,Step 3,Feet Lifted Off Ice Surface,Foot Brake Lock,Step 4,Engaging Delivery Stick on Handle,Hand Release,Step 5,Smooth Forward Arm Propulsion,Hack Slide Kick,Step 6,Zero Sweeping by Teammates,Vigorous Line Sweep
2026-11-27,Shot Calling Risk Ladder,Arrange these tactical curling shots from lowest tactical risk to highest risk of conceding multiple points.,An open peel on an opponent guard carries very low risk; attempting an angle runback double is high risk.,A clean peel of an unprotected stone is low risk. An open draw to the 8-foot is standard. A freeze against an enemy rock requires precise weight. A double takeout requires line and power. A thin angle runback double is high risk.,Lowest Risk,Open Center Line Peel,Draw to Button,Low-Medium,Open Draw to Eight-Foot,Corner Freeze,Medium Risk,Nose Freeze to Shot Rock,Guard Peel,Medium-High,Angle Double Takeout,Biter Hit,Highest Risk,Triple Angle Runback,Heavy Draw
2026-11-28,Grand Slam of Curling Events,Arrange these prestigious Grand Slam of Curling tournaments in the typical order they are contested during the elite curling season.,The Tour Challenge typically opens the Grand Slam season in autumn leading toward the Players' Championship in spring.,"The Grand Slam season historically runs Tour Challenge (early fall), Masters, National, Canadian Open (mid-winter), and culminates with the prestigious Players' Championship in spring.",Opening Slam,Tour Challenge,Continental Cup,Second Slam,Masters,Canada Cup,Mid-Season Slam,National,Brier,Winter Slam,Canadian Open,Scotties,Season Finale,Players' Championship,World Championship
2026-11-29,Canadian Curling Development Pathway,Arrange these Canadian curling competitive tiers in progression from youth developmental play to senior national supremacy.,U15 youth events precede U18 and U21 juniors before curlers qualify for the Brier or Scotties.,"Competitive curlers in Canada advance from U15 youth leagues to the Canadian U18 Championship, the Canadian U21 (Junior) Championships, U Sports collegiate competitions, and ultimately the men's Brier or women's Scotties.",Tier 2,Under-15 Developmental,Club Men's,Tier 3,Canadian Under-18 Championship,University Games,Tier 4,Canadian Junior (Under-21),Senior Mixed,Tier 5,U Sports Collegiate Championship,Masters 60+,Tier 6,Brier & Scotties National Final,Masters Invitational
2026-11-30,Defending a Lead in the Final End,Arrange the skip's tactical priorities when holding a 2-point lead with hammer in the final end.,With a lead and hammer the primary goal is to keep the sheet clean and eliminate opponent guards.,"With a two-point lead and hammer in the final end, the skip's priority: 1) Peel opponent center guards immediately after FGZ, 2) Keep the four-foot clear, 3) Force play to the side wings, 4) Avoid clutter or freezes, 5) Make an open hit or throw through with the hammer for victory.",Priority 2,Peel All Center Guards,Throw Corner Guard,Priority 3,Keep Four-Foot House Open,Freeze Behind Guard,Priority 4,Steer Stones to Side Wings,Draw to Button,Priority 5,Eliminate Opponent Biters,Split the House,Priority 6,Open Hit or Throw Away Final Rock,Tap Back Opponent
2026-12-01,Curling Facility Temperature Profile,Arrange the thermal levels of a dedicated curling facility from the coldest refrigerant zone to the warmest ambient air.,The sub-floor brine pipes are the coldest; arena air above the spectator seating is warmest.,"Subfloor refrigeration pipes chill at -7°C (20°F), keeping the ice base around -5°C (23°F), the pebble running surface at -4°C (25°F), the air one foot above ice at 4°C (39°F), and ceiling air near 10°C (50°F).",Coldest,Sub-Floor Refrigeration Pipes,Dehumidifier Vent,Very Cold,Ice Base Slab,Surface Pebble,Cold,Surface Pebble Layer,Hack Cup,Moderate,Air One Foot Above Ice,Spectator Seating,Warmest,Arena Ceiling Ambient Air,Ice Surface
